2025-08-15 00:00:07.434 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Fullstack Engineer, Applied AI with score: 82.0%
2025-08-15 00:00:07.613 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:07.613 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Fullstack Engineer, Applied AI (Message ID: 1755230407.646039)
2025-08-15 00:00:07.614 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Senior Fullstack Engineer, Applied AI with score: 90.0%
2025-08-15 00:00:07.756 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:07.757 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Senior Fullstack Engineer, Applied AI (Message ID: 1755230407.795369)
2025-08-15 00:00:08.267 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 1/2 for company Decagon - found 1 results
2025-08-15 00:00:09.273 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 2/2 for company Decagon (jobs 26-47)
2025-08-15 00:00:09.300 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Prompt validation passed for company Decagon: 22069 characters
2025-08-15 00:00:10.989 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 2/2 for company Decagon - found 1 results
2025-08-15 00:00:10.990 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Agent Software Engineer (Score: 85.0)
2025-08-15 00:00:10.990 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Agent Software Engineer (Score: 90.0)
2025-08-15 00:00:10.990 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Found 2 matching jobs out of 47 analyzed for company Decagon
2025-08-15 00:00:10.990 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 🎯 Job match analysis completed for company Decagon: found 2 actual matches out of 2 total results
2025-08-15 00:00:10.992 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - Received 2 job match results from LLM
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 📧 Company Decagon will receive 2 Slack notifications
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - 🎯 JOB MATCHING SUMMARY: Found 2 matching jobs out of 2 total results
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-5] INFO  c.jobmonitor.actor.JobProcessorActor - 📧 Sending 2 Slack notifications for matching jobs
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - Analyzing 9 jobs for company Observe Inc with Mistral AI in a single batch request
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Analyzing 9 jobs for company Observe Inc with Mistral AI using automatic batching
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing 9 jobs for company Observe Inc in batches of 9
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Agent Software Engineer with score: 85.0%
2025-08-15 00:00:10.993 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 1/1 for company Observe Inc (jobs 1-9)
2025-08-15 00:00:11.015 [job-monitor-system-akka.actor.default-dispatcher-3] WARN  c.jobmonitor.service.MistralService - Unbalanced quotes detected in prompt for company Observe Inc
2025-08-15 00:00:11.016 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Prompt validation passed for company Observe Inc: 11913 characters
2025-08-15 00:00:11.164 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:11.165 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Agent Software Engineer (Message ID: 1755230411.211379)
2025-08-15 00:00:11.165 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Agent Software Engineer with score: 90.0%
2025-08-15 00:00:11.314 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-15 00:00:11.315 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Agent Software Engineer (Message ID: 1755230411.360139)
2025-08-15 00:00:16.625 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 1/1 for company Observe Inc - found 4 results
2025-08-15 00:00:16.630 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Software Engineer: Frontend (Score: 85.0)
2025-08-15 00:00:16.630 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Backend Software Engineer: APM (Score: 80.0)
2025-08-15 00:00:16.630 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Found 2 matching jobs out of 9 analyzed for company Observe Inc
2025-08-15 00:00:16.631 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 🎯 Job match analysis completed for company Observe Inc: found 2 actual matches out of 2 total results
2025-08-15 00:00:16.631 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.jobmonitor.actor.JobProcessorActor - Received 2 job match results from LLM
2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 📧 Company Observe Inc will receive 2 Slack notifications
2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.jobmonitor.actor.JobProcessorActor - 🎯 JOB MATCHING SUMMARY: Found 2 matching jobs out of 2 total results
2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-6] INFO  c.jobmonitor.actor.JobProcessorActor - 📧 Sending 2 Slack notifications for matching jobs
2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - Analyzing 18 jobs for company Reevo with Mistral AI in a single batch request
2025-08-15 00:00:16.632 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Analyzing 18 jobs for company Reevo with Mistral AI using automatic batching
